"last_name, first_name","player_id","year","player_age","ab","pa","hit","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_caught_stealing","r_total_stolen_base","b_game","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","popups_percent","sprint_speed"
"Pérez, Carlos","656024","2022","25","18","18","4","2","0",11.1,0,".222",".333",".222","0.555","0","0","7","82.4","15.4",25,0,6.3,12.5,"90.515415","89.72187125",22,53.9,50,37.5,12.5,12.5,"25.1"
"Adams, Riley","656180","2022","26","142","155","25","46","12",29.7,7.7,".176",".310",".245","0.555","1","0","48","90.2","13.5",25,9.4,9.4,45.8,"101.327463958","94.837029368",30.1,45.6,45.8,28.1,26,8.3,"26.7"
"Allen, Greg","656185","2022","29","118","134","22","42","10",31.3,7.5,".186",".271",".260","0.531","2","8","46","87.6","8.5",25,2.5,5,32.5,"97.13406027","92.677602568",30.2,46.1,50,26.3,23.8,5,"28.3"
"Bouchard, Sean","656248","2022","26","74","97","22","25","21",25.8,21.6,".297",".500",".454","0.954","0","0","27","89.8","15.3",44,2,8,40,"100.2424568","94.5028188",27.8,37.8,48,30,22,2,"28.1"
"Bradley, Bobby","656252","2022","26","17","17","2","9","0",52.9,0,".118",".118",".118","0.236","0","0","8","87.5","2.7",25,0,12.5,50,"102.3819925","95.19099625",48.6,54.7,37.5,37.5,25,0,
"Chapman, Matt","656305","2022","29","538","621","123","170","68",27.4,11,".229",".433",".324","0.757","2","2","155","92.2","19",34,12.9,8.8,51.2,"102.906606237","96.223630699",28.7,41.7,44.8,36.5,18.8,13.1,"28.4"
"Chavis, Michael","656308","2022","26","401","426","92","126","19",29.6,4.5,".229",".389",".265","0.654","1","1","129","85.4","11.1",33,7.5,6.1,38.7,"99.520768345","93.803336787",30.8,57.7,38.7,40.1,21.1,9,"28.8"
"Dunand, Joe","656388","2022","26","10","11","3","3","0",27.3,0,".300",".700",".364","1.064","0","0","3","85.9","40.1",28.6,0,14.3,28.6,"91.9978625","90.990168571",26.1,48.9,71.4,28.6,0,14.3,
"Ellis, Drew","656403","2022","26","16","17","3","7","1",41.2,5.9,".188",".250",".235","0.485","0","0","7","88.4","9.4",44.4,0,11.1,33.3,"94.363078","91.535043333",24.3,46.3,33.3,66.7,0,0,
"Fairchild, Stuart","656413","2022","26","97","110","24","34","8",30.9,7.3,".247",".464",".336","0.800","2","0","46","88.9","13.3",31.7,9.5,7.9,41.3,"99.364164194","93.906276721",35.8,48.2,44.4,33.3,22.2,6.3,"29.1"
"Garrett, Stone","656448","2022","26","76","84","21","27","3",32.1,3.6,".276",".539",".309","0.848","1","3","27","92.9","22.8",28,10,8,52,"101.2777156","95.5788512",35,56.7,30,44,26,12,"28.6"
"Guthrie, Dalton","656495","2022","26","21","28","7","7","6",25,21.4,".333",".476",".500","0.976","0","1","14","76.8","8.1",50,7.1,0,14.3,"89.103695714","89.921977143",32.7,40.8,21.4,35.7,42.9,7.1,"28.8"
"Harrison, Monte","656509","2022","26","11","14","2","8","2",57.1,14.3,".182",".455",".357","0.812","0","1","9","103","8.7",0,33.3,0,100,"104.93608","102.976973333",60,41,0,33.3,66.7,0,
"Haseley, Adam","656514","2022","26","21","25","5","7","3",28,12,".238",".238",".333","0.571","0","0","14","84","-14.7",13.3,0,0,33.3,"96.041551429","92.020775714",27.1,52.2,40,40,20,0,"28.2"
"Hill, Derek","656537","2022","26","83","92","19","28","5",30.4,5.4,".229",".289",".270","0.559","0","3","31","85.2","6.6",33.9,3.4,3.4,30.5,"97.503475769","92.844909216",31.4,50.9,28.8,45.8,25.4,5.1,"29.6"
"Hilliard, Sam","656541","2022","28","174","200","32","57","23",28.5,11.5,".184",".264",".280","0.544","1","5","70","92","13.4",27.7,9.2,9.2,48.7,"102.616565833","95.872595546",35.1,43.9,31.9,48.7,19.3,8.4,"28.7"
"Hoskins, Rhys","656555","2022","29","589","672","145","169","72",25.1,10.7,".246",".462",".332","0.794","1","2","156","90.1","18.1",37.3,11.1,5.9,44.3,"100.842284953","94.804616643",25.7,41.9,45,32.3,22.6,7.8,"25.9"
"Jackson, Alex","656577","2022","26","12","12","3","7","0",58.3,0,".250",".250",".250","0.500","0","0","5","79.7","17",40,0,0,0,"81.424583333","88",46.2,65,0,80,20,0,
"Joe, Connor","656582","2022","29","404","467","96","97","55",20.8,11.8,".238",".359",".338","0.697","2","6","111","85.3","10.6",35.1,4.5,3.9,33.8,"97.624297516","92.833330754",21.2,40.4,36.4,39.6,24,7.1,"26.8"
"Kolozsvary, Mark","656627","2022","26","20","21","4","9","1",42.9,4.8,".200",".450",".238","0.688","0","0","10","88.3","-1.8",45.5,9.1,0,45.5,"98.683816667","94.076961818",20,39,27.3,54.5,18.2,0,"28.1"
"Luplow, Jordan","656669","2022","28","205","234","36","60","25",25.6,10.7,".176",".361",".274","0.635","1","5","83","87.2","17.7",24,7.5,4.8,32.9,"97.877095068","92.98903131",29.9,47.9,50,29.5,20.5,11.6,"27.7"
"Matijevic, J.J.","656695","2022","26","67","71","14","25","2",35.2,2.8,".209",".328",".254","0.582","0","1","32","88.8","8.9",33.3,2.4,7.1,42.9,"99.865977143","94.197589762",37.3,51.8,33.3,38.1,28.6,2.4,"26.8"
"McKinstry, Zach","656716","2022","27","166","185","33","52","16",28.1,8.6,".199",".361",".273","0.634","0","7","57","86.4","12.9",41.4,4.3,6,30.2,"96.760488421","92.451668761",21.1,46.6,42.2,27.6,30.2,4.3,"28.3"
"Mullins II, Cedric","656775","2022","27","608","672","157","126","47",18.8,7,".258",".403",".318","0.721","10","34","156","88.8","17.4",29.3,4.9,5.9,37.3,"98.895231356","93.569582691",22.2,51.3,41.8,33.2,25,11.5,"28.5"
"O'Hearn, Ryan","656811","2022","28","134","145","32","35","8",24.1,5.5,".239",".321",".290","0.611","0","0","67","92.1","13.4",38,7,11,48,"102.062682041","95.76288949",24.1,49.4,43,30,27,5,"27.2"
"Padlo, Kevin","656821","2022","25","33","34","4","10","1",29.4,2.9,".121",".152",".147","0.299","0","0","13","90.8","16.4",21.7,0,8.7,43.5,"102.4780125","95.686507826",33.3,52.3,34.8,47.8,17.4,8.7,"25.4"
"Rivera, Emmanuel","656896","2022","26","330","359","77","83","23",23.1,6.4,".233",".409",".292","0.701","2","1","102","90.4","9.8",32.3,9.3,6,38.3,"99.960196371","94.242469274",25.8,50.1,39.1,34.7,26.2,4,"26.9"
"Schwarber, Kyle","656941","2022","29","577","669","126","200","86",29.9,12.9,".218",".504",".323","0.827","1","10","155","93.3","19.2",35.4,20.1,8.7,54.4,"104.793857287","97.247555372",29.4,40.6,42.5,37.7,19.8,11.3,"26.4"
"Smith, Pavin","656976","2022","26","245","277","54","67","28",24.2,10.1,".220",".367",".300","0.667","0","1","75","87.9","15.2",28.7,9.9,3.3,35.9,"98.397917802","93.251592099",21.7,39.5,38.1,35.4,26.5,8.8,"26.6"
"Thomas, Lane","657041","2022","26","498","548","120","132","41",24.1,7.5,".241",".404",".301","0.705","4","8","146","86.4","12.5",32.6,6.5,5.7,34.5,"98.449522283","93.255458474",21.1,44.1,41.8,34.8,23.5,12.4,"29.4"
"Tucker, Cole","657061","2022","25","63","63","11","25","0",39.7,0,".175",".222",".175","0.397","0","1","18","82.4","4.8",39.5,7.9,5.3,23.7,"94.314187368","91.434396579",28.1,46,36.8,34.2,28.9,5.3,"27.7"
"Verdugo, Alex","657077","2022","26","593","644","166","86","42",13.4,6.5,".280",".405",".328","0.733","3","1","152","89.1","8.4",37.8,6,7.6,38.2,"99.112574241","93.706486823",15.5,45.3,30.4,41.5,28.1,4.3,"26.8"
"Wong, Connor","657136","2022","26","48","56","9","16","5",28.6,8.9,".188",".313",".273","0.586","0","0","27","89.8","5.1",20.6,11.8,2.9,32.4,"99.758804706","94.271729091",30.6,48.9,35.3,41.2,23.5,5.9,"28.9"
"Alvarez, Eddy","657193","2022","32","25","27","4","9","0",33.3,0,".160",".160",".154","0.314","0","1","14","88","10.3",22.2,0,0,27.8,"96.002405556","92.270659412",29.1,55.6,44.4,22.2,33.3,0,"26.8"
"DeJong, Paul","657557","2022","28","210","237","33","79","21",33.3,8.9,".157",".286",".245","0.531","2","3","77","87.6","21.7",25.6,9.8,5.3,37.6,"99.542111493","93.858530902",35.2,48.8,45.1,24.8,30.1,11.3,"27.7"
"Laureano, Ramón","657656","2022","27","346","383","73","104","25",27.2,6.5,".211",".376",".287","0.663","6","11","94","88.7","14.9",28.9,11.6,4.1,38.4,"100.041538347","94.16358876",30.3,46.4,41.3,32.2,26.4,7.9,"27.6"
"Papierski, Michael","657709","2022","26","91","103","13","26","10",25.2,9.7,".143",".187",".228","0.415","0","0","39","77.4","12.2",28.4,0,3,9,"88.340397273","89.381348308",19.1,43.5,38.8,37.3,23.9,13.4,"24.7"
"Sheets, Gavin","657757","2022","26","377","410","91","86","27",21,6.6,".241",".411",".295","0.706","0","0","124","88.6","14.8",32.3,6.5,6.1,36.1,"98.93534363","93.559241787",21.9,47.7,38.4,36.7,24.8,10.5,"26.6"
"Olivares, Edward","658668","2022","26","161","174","46","36","10",20.7,5.7,".286",".410",".333","0.743","3","2","53","89.2","6.6",34.9,6.3,5.6,38.9,"99.966220794","94.23725184",24.9,51.2,43.7,39.7,16.7,4,"28.6"
"Moncada, Yoán","660162","2022","27","397","433","84","114","32",26.3,7.4,".212",".353",".273","0.626","0","2","104","88.7","15.7",35.1,9.8,6.3,37.5,"99.519949858","93.912687082",27.8,47.1,34.7,41.1,24.2,7,"27.4"
"Ohtani, Shohei","660271","2022","27","586","666","160","161","72",24.2,10.8,".273",".519",".356","0.875","9","11","157","92.9","12.1",35,16.8,5.6,49.8,"103.823624272","96.520363788",28.1,49.3,36,36.2,27.8,3.3,"28.2"
"Tsutsugo, Yoshi","660294","2022","30","170","193","29","50","19",25.9,9.8,".171",".229",".249","0.478","0","0","50","88.8","10.1",32.3,5.6,3.2,36.3,"98.366657419","93.35715629",21.9,44,29.8,38.7,31.5,6.5,"26.1"
"Araúz, Jonathan","660620","2022","23","38","41","5","12","1",29.3,2.4,".132",".211",".150","0.361","0","0","15","87.4","12.1",50,7.1,3.6,35.7,"99.193786429","93.86637037",25.4,44.4,35.7,53.6,10.7,10.7,"26.2"
"Hernández, Yonny","660634","2022","24","24","28","2","4","2",14.3,7.1,".083",".083",".154","0.237","0","2","12","82.3","-12.5",22.7,0,4.5,13.6,"91.606844","90.365624737",11.1,46.2,50,22.7,27.3,0,"26.8"
"Castillo, Diego A.","660636","2022","24","262","283","54","75","14",26.5,4.9,".206",".382",".251","0.633","1","1","96","89.1","14.6",37.7,9.9,8.4,38.7,"98.736440729","93.490571675",26.9,43.7,40.8,36.1,23,4.2,"27.3"
"Bruján, Vidal","660644","2022","24","147","162","24","37","12",22.8,7.4,".163",".259",".228","0.487","5","5","52","86.1","14.2",30.4,2.7,2.7,27.7,"96.400896071","92.213595893",20.7,50.5,40.2,30.4,29.5,9.8,"28.5"
"Garcia, Dérmis","660650","2022","24","116","125","24","55","8",44,6.4,".207",".388",".264","0.652","0","0","39","86.5","12.2",27.9,13.1,1.6,42.6,"100.773491613","94.52853623",44.5,51.2,55.7,26.2,18,9.8,"27.4"
"Acuña Jr., Ronald","660670","2022","24","467","533","124","126","53",23.6,9.9,".266",".413",".351","0.764","11","29","119","91.2","10.8",32.8,12.8,6.1,49.7,"103.759318129","96.440064282",24.9,47.9,40.4,39.5,20.1,6.4,"28.5"
"Ruiz, Keibert","660688","2022","23","394","433","99","50","30",11.5,6.9,".251",".360",".313","0.673","1","6","112","88","14.9",36.3,3.7,7.5,32.3,"97.283247895","92.718755058",14.9,50.9,49.6,34.6,15.9,6.1,"25.3"
"Montero, Elehuris","660707","2022","23","176","185","41","60","8",32.4,4.3,".233",".432",".270","0.702","0","0","53","89.8","13.2",34.5,8.6,6.9,39.7,"100.524698276","94.381819741",35.5,52.2,37.9,47.4,14.7,6.9,"26.9"
"Gonzalez, Oscar","660757","2022","24","362","382","107","75","15",19.6,3.9,".296",".461",".327","0.788","2","1","91","88.6","5.4",32.5,7.3,4.8,40.1,"101.045260903","94.682138153",26.7,59.3,38.8,39.8,21.5,5.2,"28.8"
"Yepez, Juan","660766","2022","24","253","274","64","61","16",22.3,5.8,".253",".447",".296","0.743","0","0","76","86.5","17.1",33.2,9.2,5.6,33.7,"98.66909102","93.337373827",26.1,54.5,42.9,37.2,19.9,11.2,"26.8"
"Sánchez, Jesús","660821","2022","24","313","343","67","92","26",26.8,7.6,".214",".403",".280","0.683","0","1","98","89.5","11",25.7,9.9,3.2,40.5,"101.710457117","95.181364706",29.6,47.8,41.9,30.6,27.5,7.2,"27.3"
"Park, Hoy","660829","2022","26","51","60","11","15","4",25,6.7,".216",".373",".276","0.649","0","1","23","85.1","10.3",20,10,0,25,"96.311552105","92.268094324",21.7,38.8,35,35,30,2.5,"27.4"
"Contreras, William","661388","2022","24","334","376","93","104","39",27.7,10.4,".278",".506",".354","0.860","0","2","97","90.4","6.1",31.9,13.4,4.7,46.6,"102.334962328","95.58762026",34.3,44.6,36.6,41.8,21.6,3.4,"27.0"
"Serven, Brian","661531","2022","27","187","205","38","44","13",21.5,6.3,".203",".332",".261","0.593","0","0","62","84.5","12.5",32.9,2.7,4.1,29.5,"96.245205139","92.177853427",27.2,54.5,39.7,37.7,22.6,10.3,"26.4"
"Varsho, Daulton","662139","2022","25","531","592","125","145","46",24.5,7.8,".235",".443",".302","0.745","6","16","151","87.7","14.9",33.6,10.2,8.4,35.6,"99.211725904","93.6867316",25.3,50.6,50.9,32.1,17,7.9,"28.0"
"Nootbaar, Lars","663457","2022","24","290","347","66","71","51",20.5,14.7,".228",".448",".340","0.788","1","4","108","91.7","10.7",30.4,12.1,4.9,46,"101.790400273","95.340542192",23.9,39.2,43.8,34.4,21.9,5.4,"28.2"
"Davis, Brendon","663478","2022","24","10","11","2","3","1",27.3,9.1,".200",".200",".273","0.473","0","1","3","88","34.2",42.9,14.3,0,42.9,"97.4071625","93.491647143",36.4,48.9,28.6,42.9,28.6,28.6,
"Nevin, Tyler","663527","2022","25","157","184","31","46","20",25,10.9,".197",".261",".299","0.560","0","0","58","87.3","17.7",34.2,3.5,5.3,37.7,"98.356865263","93.376842655",26.8,45.6,36,33.3,30.7,7,"25.7"
"Hoerner, Nico","663538","2022","25","481","517","135","57","28",11,5.4,".281",".410",".327","0.737","2","20","135","87.2","10.6",32.4,2.6,4.7,33.5,"97.678971875","92.920531108",14.2,49.2,33.6,35.2,31.2,5.9,"29.1"
"Riley, Austin","663586","2022","25","615","693","168","168","57",24.2,8.2,".273",".528",".349","0.877","0","2","159","92.5","12.9",37.7,15.7,8.4,50.8,"104.398300222","96.785171533",27.6,51.5,39.2,36.4,24.4,6,"27.8"
"Madrigal, Nick","663611","2022","25","209","228","52","27","14",11.8,6.1,".249",".282",".305","0.587","1","3","59","85.9","-0.2",26.6,0,1.6,24.6,"94.969870795","91.48588483",10.3,44.5,26.1,45.1,28.8,3.8,"27.4"
"Larnach, Trevor","663616","2022","25","160","180","37","57","18",31.7,10,".231",".406",".306","0.712","0","0","51","90.1","13.1",36.2,11.4,10.5,43.8,"101.431611321","95.113861143",40.2,41.6,38.1,36.2,25.7,3.8,"27.0"
"Mountcastle, Ryan","663624","2022","25","555","609","139","154","43",25.3,7.1,".250",".423",".305","0.728","1","4","145","91.3","15.9",39.5,15,4.7,46.3,"101.941494208","95.335163391",29.8,56.2,32.1,37.5,30.4,4.9,"27.5"
"McKenna, Ryan","663630","2022","25","156","172","37","55","11",32,6.4,".237",".340",".294","0.634","1","2","104","86.7","15.4",37.5,9.6,3.8,30.1,"97.3643112","92.729450101",35,52.6,40.4,31.7,27.9,6.7,"29.2"
"Hayes, Ke'Bryan","663647","2022","25","505","560","123","122","48",21.8,8.6,".244",".345",".314","0.659","5","20","136","91","5.2",30.6,3.9,6.2,46.8,"102.263213822","95.477046745",20.7,43.3,26,40.8,33.2,5.7,"27.9"
"Tucker, Kyle","663656","2022","25","544","609","140","95","59",15.6,9.7,".257",".478",".330","0.808","4","25","150","90","19",34.4,10.2,10.2,42.4,"100.332560357","94.468288036",20,52.7,41.9,34.8,23.3,6,"26.7"
"Cameron, Daz","663662","2022","25","64","70","14","20","5",28.6,7.1,".219",".344",".286","0.630","0","2","21","90.4","17.1",43.2,9.1,9.1,43.2,"100.319888182","94.301869318",30.7,47.7,36.4,36.4,27.3,13.6,"28.6"
"India, Jonathan","663697","2022","25","386","431","96","94","31",21.8,7.2,".249",".378",".327","0.705","4","3","103","85.1","14.5",36,4.8,4.5,28.8,"97.40599669","92.71951917",23.6,41.3,44.2,34.6,21.2,8.9,"27.7"
"Bart, Joey","663698","2022","25","261","291","56","112","26",38.5,8.9,".215",".364",".296","0.660","1","2","97","87.3","16.3",32.2,10.1,6,43,"101.289725342","94.721199726",38,47.2,51.7,24.8,23.5,9.4,"27.2"
"Raleigh, Cal","663728","2022","25","370","415","78","122","38",29.4,9.2,".211",".489",".284","0.773","0","1","119","90.9","22.5",36,15.4,8.7,43.5,"101.200073622","95.046335375",32.1,52.6,45.8,32,22.1,9.1,"26.8"
"Fortes, Nick","663743","2022","25","217","240","50","45","18",18.8,7.5,".230",".392",".304","0.696","3","5","72","89.3","15.4",30.2,7,5.2,37.8,"99.460571882","93.908283529",22.9,44.7,40.7,33.1,26.2,11,"27.8"
"Grisham, Trent","663757","2022","25","451","524","83","150","57",28.6,10.9,".184",".341",".284","0.625","1","7","152","88.3","15.1",25.5,8.1,5.8,35.5,"99.46593125","93.84436934",26.2,38.7,43.5,31.6,24.8,9,"28.8"
"Vierling, Matt","663837","2022","25","325","357","80","70","23",19.6,6.4,".246",".351",".297","0.648","4","7","117","91.2","12",35.2,5,7.7,47.1,"101.211212846","94.995167231",19.5,44.6,28.4,42.5,29.1,7.7,"29.5"
"Rivas III, Alfonso","663845","2022","25","251","287","59","87","29",30.3,10.1,".235",".307",".322","0.629","1","6","101","86.9","4.9",34.7,4.2,3,35.3,"98.449898395","93.317647826",26.2,42,32.3,38.3,29.3,2.4,"26.3"
"Gonzalez, Romy","663853","2022","25","105","109","25","39","2",35.8,1.8,".238",".352",".257","0.609","1","0","32","91.2","3.3",29.9,9,4.5,49.3,"102.563254242","95.828662308",37.9,53.7,29.9,34.3,35.8,1.5,"28.6"
"Stephenson, Tyler","663886","2022","25","166","183","53","47","12",25.7,6.6,".319",".482",".372","0.854","0","1","50","87.1","11.1",46.3,6.6,7.4,34.7,"97.521469508","92.827161901",27,43.6,46.3,34.7,19,5,"26.6"
"Williams, Luke","663897","2022","25","127","136","30","44","9",32.4,6.6,".236",".315",".287","0.602","4","11","79","83.3","16.7",36.1,3.6,4.8,22.9,"94.44903675","91.478494625",31,50.7,41,36.1,22.9,13.3,"28.7"
"Rodgers, Brendan","663898","2022","25","527","581","140","101","46",17.4,7.9,".266",".408",".325","0.733","0","0","137","90","4.6",31.3,7.2,5.6,45.9,"101.127645047","94.882864603",22.7,49.4,27.4,38.5,34.1,2.8,"26.7"
"Plummer, Nick","663911","2022","25","29","31","4","12","1",38.7,3.2,".138",".379",".194","0.573","0","0","14","89.1","7.8",47.1,11.8,0,41.2,"100.664212222","94.946844118",36.2,49,41.2,47.1,11.8,0,"26.2"
"Lowe, Nathaniel","663993","2022","26","593","645","179","147","48",22.8,7.4,".302",".492",".358","0.850","2","2","157","90.2","8.2",34.1,9.9,5.2,44.8,"101.963916216","95.317229707",24.9,52.2,30.7,40.8,28.5,4.3,"27.1"
"Happ, Ian","664023","2022","27","573","641","155","149","58",23.2,9,".271",".440",".342","0.782","4","9","158","89.7","10.9",29.2,6.5,6.5,40.4,"100.312408396","94.405566288",27.2,49,40,34.6,25.5,5.8,"27.9"
"Mathias, Mark","664029","2022","27","81","91","20","30","9",33,9.9,".247",".506",".319","0.825","0","3","30","90.2","11.8",34.6,11.5,5.8,46.2,"99.592462692","93.998095769",34.6,39.4,36.5,38.5,25,1.9,"27.6"
"France, Ty","664034","2022","27","551","613","151","94","35",15.3,5.7,".274",".436",".338","0.774","0","0","140","87.6","10",34.8,5.4,5,36.8,"99.035163319","93.565264683",19.3,52.5,35.5,35.1,29.4,5.4,"24.8"
"Lowe, Brandon","664040","2022","27","235","266","52","61","27",22.9,10.2,".221",".383",".308","0.691","0","1","65","89.4","16.6",35.4,10.3,4.6,38.9,"99.918656897","94.284977069",33.5,53.3,38.3,39.4,22.3,10.9,"27.5"
"Davis, Jaylin","664041","2022","27","24","27","8","11","3",40.7,11.1,".333",".375",".407","0.782","0","0","12","88.2","7.1",53.8,0,0,38.5,"99.263558571","94.163736923",50,42.2,23.1,61.5,15.4,0,"28.1"
"Bader, Harrison","664056","2022","28","292","313","73","62","15",19.8,4.8,".250",".356",".294","0.650","3","17","86","83.4","16.7",28.4,3.4,5.6,26.3,"96.180596034","92.143730991",22.3,48,34.5,46.1,19.4,12.9,"29.1"
"Fletcher, David","664058","2022","28","216","228","55","16","7",7,3.1,".255",".333",".288","0.621","0","1","61","82.1","15",41.1,0,0.5,7.4,"91.09124866","89.628919691",12.2,48.4,33.2,33.2,33.7,10.9,"26.1"
"Haggerty, Sam","664059","2022","28","176","201","45","53","18",26.4,9,".256",".403",".335","0.738","1","13","83","86","13.6",32.5,4,2.4,24.6,"96.38917","92.207266333",28.2,49.3,43.7,32.5,23.8,8.7,"28.9"
"Allen, Austin","664119","2022","28","14","16","1","9","1",56.3,6.3,".071",".071",".188","0.259","0","0","5","92.7","25",20,0,20,60,"99.038233333","94.818966",48.5,49.3,20,40,40,20,
"Moore, Dylan","664238","2022","29","205","255","46","75","34",29.4,13.3,".224",".385",".368","0.753","8","21","104","87.2","20.7",39.4,12.9,7.6,36.4,"98.982847692","93.508799615",27.9,38.7,38.6,37.1,24.2,12.9,"28.3"
"Garlick, Kyle","664247","2022","30","150","162","35","48","8",29.6,4.9,".233",".433",".284","0.717","0","0","66","90.2","15.1",36.9,9.7,8.7,47.6,"101.399865577","95.232580777",35.2,48.7,47.6,29.1,23.3,6.8,"26.8"
"Florial, Estevan","664314","2022","24","31","35","3","13","3",37.1,8.6,".097",".097",".200","0.297","0","2","17","85.6","14.3",16.7,5.6,5.6,27.8,"96.359127778","92.462302353",46.4,49.3,33.3,33.3,33.3,22.2,"27.9"
"Whitefield, Aaron","664334","2022","25","11","11","0","5","0",45.5,0,".000",".000",".000","0.000","0","0","5","95.3","-1.8",33.3,16.7,16.7,50,"103.911796667","97.571343333",45,41.7,66.7,33.3,0,0,
"Lopez, Alejo","664670","2022","26","145","156","38","21","9",13.5,5.8,".262",".331",".314","0.645","1","3","59","83.8","9.3",37.9,0.8,4.8,20.2,"94.42221","91.277312397",16.3,50.6,35.5,34.7,29.8,3.2,"26.6"
"Straw, Myles","664702","2022","27","535","596","118","87","54",14.6,9.1,".221",".273",".291","0.564","1","21","152","87","9.8",34.1,0.7,4.8,26.5,"95.486124533","91.784236481",12.6,40.5,24,39.4,36.6,3.7,"29.3"
"Isbel, Kyle","664728","2022","25","256","278","54","75","16",27,5.8,".211",".340",".264","0.604","6","9","106","89.7","10.6",30.4,4.9,7.1,44.6,"100.466422667","94.564799889",21.9,46.3,47.3,32.6,20.1,10.3,"28.0"
"Higgins, P.J.","664731","2022","29","201","229","46","58","22",25.3,9.6,".229",".383",".310","0.693","0","0","74","86","8.7",34.7,3.4,4.1,25.5,"95.709141571","91.886405683",27.6,43.1,34.7,35.4,29.9,6.8,"26.4"
"Bohm, Alec","664761","2022","25","586","631","164","110","31",17.4,4.9,".280",".398",".315","0.713","3","2","152","90.2","10.4",37.7,6.8,6,43,"100.649873374","94.552579815",21.1,51.2,30.2,39.1,30.7,5.6,"27.0"
"Wade Jr., LaMonte","664774","2022","28","217","251","45","51","26",20.3,10.4,".207",".359",".305","0.664","0","1","77","87.7","21.1",33.7,9.5,5.9,34.3,"98.05927131","93.112804491",18,44.8,38.5,39.1,22.5,9.5,"25.9"
"Mazeika, Patrick","664850","2022","28","68","72","13","9","2",12.5,2.8,".191",".294",".214","0.508","0","0","24","84.5","15.4",29.5,3.3,3.3,18,"93.467468276","90.797627414",14.9,49.6,55.7,31.1,13.1,11.5,"24.3"
"Zavala, Seby","664874","2022","28","178","205","48","64","19",31.2,9.3,".270",".382",".347","0.729","0","0","61","88.8","22.7",41.2,9.2,6.7,37,"98.11221069","93.374340172",37.6,53.5,39.5,30.3,30.3,7.6,"26.0"
"Mendick, Danny","664901","2022","28","97","106","28","23","7",21.7,6.6,".289",".443",".343","0.786","0","1","31","86.8","10.3",38.7,4,2.7,20,"95.653647838","91.91142",25.3,42.2,34.7,36,29.3,2.7,"26.1"
"Brown, Seth","664913","2022","29","500","555","115","146","51",26.3,9.2,".230",".444",".305","0.749","2","11","150","89.2","15.8",34.9,13,5.4,41.4,"101.723429266","95.001222068",29.6,48.3,40.3,36.1,23.7,8.5,"27.8"
"McCarthy, Jake","664983","2022","24","321","354","91","76","23",21.5,6.5,".283",".427",".342","0.769","3","23","99","87.4","8",32.5,4.8,3.2,33.7,"98.235931513","93.298753151",28,53.1,34.9,41,24.1,3.2,"30.1"
"Clemens, Kody","665019","2022","26","117","127","17","33","8",26,6.3,".145",".308",".197","0.505","0","1","56","89.4","17.4",26.7,5.8,5.8,37.2,"98.286138605","93.203562907",27.4,53,54.7,25.6,19.8,8.1,"27.3"
"Walsh, Jared","665120","2022","28","423","454","91","138","27",30.4,5.9,".215",".374",".269","0.643","1","2","118","90.1","10.7",34,9.5,6,42.5,"100.931193759","94.894355638",27.7,49.1,37.9,39.6,22.5,6,"25.9"
"Proctor, Ford","665154","2022","25","18","22","2","3","2",13.6,9.1,".111",".278",".182","0.460","0","0","7","89.4","-10.5",29.4,5.9,11.8,29.4,"97.325226667","93.107843529",25,44.4,41.2,29.4,29.4,0,"26.6"
"Maton, Nick","665155","2022","25","72","85","18","29","10",34.1,11.8,".250",".514",".341","0.855","0","0","34","86.6","18.6",37.8,6.7,8.9,31.1,"96.703721364","92.378948864",35.4,48.8,46.7,31.1,22.2,8.9,"26.7"
"Peña, Jeremy","665161","2022","24","521","558","132","135","22",24.2,3.9,".253",".426",".289","0.715","2","11","136","88.1","8.7",32.9,9.7,5.4,36.7,"99.803563646","93.99255276",29.7,55.2,42.6,33.2,24.2,4.6,"29.4"
"Celestino, Gilberto","665482","2022","23","311","347","74","77","32",22.2,9.2,".238",".302",".313","0.615","1","4","122","87.3","-1.9",27.1,2.5,4.2,34.3,"98.33701431","93.262711767",23.4,44.5,28.4,34.3,37.3,3,"27.9"
"Guerrero Jr., Vladimir","665489","2022","23","638","706","175","116","58",16.4,8.2,".274",".480",".339","0.819","3","8","160","92.8","4.3",27.9,11.2,6.8,50.4,"105.507038582","97.328619789",24.4,49.7,37.8,39.9,22.2,6.1,"26.7"
"Pache, Cristian","665506","2022","23","241","260","40","70","15",26.9,5.8,".166",".241",".218","0.459","2","2","91","89.4","3.8",25.3,3.4,3.4,40.8,"100.207713059","94.45821355",31,50.5,42.5,39.1,18.4,5.7,"28.6"
"Fox, Lucius","665650","2022","24","25","28","2","9","1",32.1,3.6,".080",".080",".115","0.195","0","1","10","81.8","-3.5",11.1,5.6,0,33.3,"95.43933875","92.16679625",30.9,50.5,50,27.8,22.2,0,"29.1"
"Soto, Juan","665742","2022","23","524","664","127","96","135",14.5,20.3,".242",".452",".401","0.853","2","6","153","91","9.1",28.5,12.4,7.2,47.4,"102.236934112","95.653888852",19.4,35.5,33.6,42.1,24.3,6.3,"26.6"
