"last_name, first_name","player_id","year","player_age","ab","pa","hit","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","r_total_caught_stealing","r_total_stolen_base","b_game","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","popups_percent","sprint_speed"
"Yelich, Christian","592885","2022","30","575","671","145","162","88",24.1,13.1,".252",".383",".355","0.738","3","19","154","91.5","3.6",30.3,8.2,6.7,48.6,"102.984892126","96.020852446",25.1,43.2,33.4,38.9,27.6,3.1,"28.1"
"Merrifield, Whit","593160","2022","33","504","550","126","85","38",15.5,6.9,".250",".375",".298","0.673","5","16","139","87.1","15.1",37.9,4.2,7.3,31.1,"96.383459857","92.27510481",19.4,50.9,35.1,35.8,29,7.7,"28.6"
"Bogaerts, Xander","593428","2022","29","557","631","171","118","57",18.7,9,".307",".456",".377","0.833","2","8","150","88.1","10.2",30.3,6.5,4.9,39.5,"99.97943964","94.08380455",24.8,45.7,37.2,37.4,25.3,6.5,"27.9"
"Alberto, Hanser","593643","2022","29","156","159","38","25","3",15.7,1.9,".244",".365",".258","0.623","1","0","73","82.9","10.8",30.5,1.5,6.9,18.3,"93.791635156","91.008477165",26.2,61.6,42,34.4,23.7,3.8,"25.9"
"Polanco, Jorge","593871","2022","28","375","445","88","95","64",21.3,14.4,".235",".405",".346","0.751","3","3","104","89","21.7",37.7,10.2,6.3,38.7,"99.924839571","94.156301183",25.7,42.4,46.5,33.1,20.4,9.2,"28.1"
"Sanó, Miguel","593934","2022","29","60","71","5","25","9",35.2,12.7,".083",".133",".211","0.344","0","1","20","93.9","30",30.6,13.9,8.3,52.8,"102.693380556","96.171660278",37.2,39.6,50,27.8,22.2,11.1,"26.7"
"Calhoun, Kole","594777","2022","34","388","424","76","136","27",32.1,6.4,".196",".330",".257","0.587","2","3","125","90.8","15.4",40.4,9.8,8.6,48.2,"100.862031797","94.921499922",36.3,53.1,45.9,34.5,19.6,8.6,"25.4"
"Duvall, Adam","594807","2022","33","287","315","61","101","21",32.1,6.7,".213",".401",".276","0.677","2","0","86","88.3","23.4",36.2,12.8,7.4,41,"100.566076596","94.3357175",29.2,50.5,48.4,32.4,19.1,11.2,"28.0"
"Gosselin, Phil","594838","2022","33","74","77","11","24","2",31.2,2.6,".149",".176",".182","0.358","0","0","34","86.4","15",30,2,4,36,"96.7428284","92.3714142",27.1,46.5,28,38,34,10,"29.0"
"Kiermaier, Kevin","595281","2022","32","206","221","47","61","14",27.6,6.3,".228",".369",".281","0.650","1","6","63","87.9","5.3",33.8,6.9,4.8,38.6,"98.886186164","93.570432966",31.9,51.7,32.4,35.2,32.4,3.4,"29.2"
"Knapp, Andrew","595284","2022","30","39","46","5","12","5",26.1,10.9,".128",".154",".239","0.393","0","0","16","86.3","17.2",32.1,0,10.7,25,"95.527002143","91.90289",28.1,50.6,42.9,35.7,21.4,14.3,"26.5"
"Wallach, Chad","595453","2022","30","35","40","5","9","4",22.5,10,".143",".257",".231","0.488","0","0","12","87","17.7",40.7,7.4,7.4,37,"98.675730769","93.413808846",30,47.6,33.3,40.7,25.9,0,"24.2"
"Alfaro, Jorge","595751","2022","29","256","274","63","98","11",35.8,4,".246",".383",".285","0.668","0","1","82","89.4","8",38.5,11.2,4.3,38.5,"102.020939625","95.196380755",38,62.6,31.1,41.6,27.3,3.1,"28.7"
